,Name,Price,Selldate,Public Year,Mileage,Origin,Bodytype,Seats,City,Year,Fueltype,Engine,Manufacturer
279,Mercedes Benz C class C200 Avantgarde,1489,4/11/2024,2023,6000,Lap rap,Sedan,5,Ha Noi,1,Xang,1500,Mercedes
280,Nissan Navara EL 2.3 AT 2WD,615,4/11/2024,2023,17000,Nhap khau,Ban tai,5,Ha Noi,1,Dau,2300,Nissan
281,Ford Ranger XLS 2.0L 4x2 AT,658,4/11/2024,2023,0,Lap rap,Ban tai,5,Ha Noi,1,Dau,2000,Ford
282,Mercedes Benz GLC 300 4Matic,1120,4/11/2024,2018,75000,Lap rap,SUV,5,Ha Noi,6,Xang,2000,Mercedes
283,Rolls Royce Wraith 6.6 V12,11500,4/11/2024,2014,40000,Nhap khau,Coupe,4,Ha Noi,10,Xang,6600,Rolls-Royce
284,Lexus RX 200t,1860,4/11/2024,2016,100000,Nhap khau,SUV,5,Ha Noi,8,Xang,2000,Lexus
285,Mercedes Benz GLC 300 4Matic,1999,4/11/2024,2022,25000,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mercedes
286,Lexus RX 200t,1880,4/11/2024,2016,100000,Nhap khau,SUV,5,Ha Noi,8,Xang,2000,Lexus
287,Mazda 2 Sport Luxury,412,4/11/2024,2019,80000,Nhap khau,Hatchback,5,Ha Noi,5,Xang,1500,Mazda
288,Ford Everest Titanium Plus 2.0L 4x4 AT,1365,4/11/2024,2022,20000,Nhap khau,SUV,7,Ha Noi,2,Dau,2000,Ford
289,Mercedes Benz GLC 300 4Matic,2069,4/11/2024,2022,25000,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mercedes
290,Mercedes Benz GLC 250 4Matic,1090,4/11/2024,2018,50000,Lap rap,SUV,5,Ha Noi,6,Xang,2000,Mercedes
291,LandRover Range Rover Autobiography 5.0,2890,4/11/2024,2014,93322,Nhap khau,SUV,4,Ha Noi,10,Xang,5000,Land Rover
292,BMW 3 Series 328i GT,623,4/11/2024,2016,0,Nhap khau,Sedan,5,Ha Noi,8,Xang,2000,BMW
293,Mercedes Benz GLC 300 4Matic,1650,4/11/2024,2020,50000,Lap rap,SUV,5,Ha Noi,4,Xang,2000,Mercedes
294,Toyota Yaris 1.5G,475,4/11/2024,2018,71000,Nhap khau,Hatchback,5,Ha Noi,6,Xang,1500,Toyota
295,Mercedes Benz GLC 250 4Matic,1090,4/11/2024,2018,50000,Lap rap,SUV,5,Ha Noi,6,Xang,2000,Mercedes
296,LandRover Range Rover Autobiography 5.0,2890,4/11/2024,2014,93322,Nhap khau,SUV,4,Ha Noi,10,Xang,5000,Land Rover
297,BMW 3 Series 328i GT,623,4/11/2024,2016,0,Nhap khau,Sedan,5,Ha Noi,8,Xang,2000,BMW
298,Mercedes Benz GLC 300 4Matic,1650,4/11/2024,2020,50000,Lap rap,SUV,5,Ha Noi,4,Xang,2000,Mercedes
299,Toyota Yaris 1.5G,475,4/11/2024,2018,71000,Nhap khau,Hatchback,5,Ha Noi,6,Xang,1500,Toyota
300,Ford Territory Titanium X 1.5 AT,855,4/11/2024,2023,19000,Lap rap,SUV,5,Ha Noi,1,Xang,1500,Ford
301,Mercedes Benz GLC 300 4Matic,1089,4/11/2024,2018,110000,Lap rap,SUV,5,Ha Noi,6,Xang,2000,Mercedes
302,VinFast Lux SA 2.0 Premium 2.0 AT,779,4/11/2024,2020,79000,Lap rap,SUV,7,Ha Noi,4,Xang,2000,VinFast
303,Mercedes Benz GLC 200,955,4/11/2024,2018,60000,Lap rap,SUV,5,Ha Noi,6,Xang,2000,Mercedes
304,Mitsubishi Xpander 1.5 AT,525,4/11/2024,2022,58000,Nhap khau,SUV,7,Ha Noi,2,Xang,1500,Mitsubishi
305,Honda CRV L,939,4/11/2024,2022,30000,Lap rap,SUV,7,Ha Noi,2,Xang,1500,Honda
306,LandRover Range Rover HSE 3.0,5200,4/11/2024,2018,45000,Nhap khau,SUV,5,Ha Noi,6,Xang,3000,Land Rover
307,Mercedes Benz GLC 200 4Matic,1750,4/11/2024,2022,16000,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mercedes
308,Kia Carnival Signature 2.2D,1268,4/11/2024,2022,50000,Lap rap,Van,7,Ha Noi,2,Dau,2200,Kia
309,MG HS 1.5T LUX,625,4/11/2024,2023,2600,Nhap khau,Crossover,5,Ha Noi,1,Xang,1500,MG
310,Toyota Corolla Cross 1.8HV,805,4/11/2024,2022,26000,Nhap khau,SUV,5,Ha Noi,2,Hybrid,1800,Toyota
311,Toyota Vios 1.5G,385,4/11/2024,2017,85000,Lap rap,Sedan,5,Ha Noi,7,Xang,1500,Toyota
312,Volvo XC90 Ultimate B6 AWD,3489,4/11/2024,2023,33000,Nhap khau,SUV,7,Ha Noi,1,Xang,2000,Volvo
313,Toyota Corolla Cross 1.8V,760,4/11/2024,2021,18000,Nhap khau,SUV,5,Ha Noi,3,Xang,1800,Toyota
314,Mitsubishi Xpander 1.5 AT,525,4/11/2024,2022,58000,Nhap khau,SUV,7,Ha Noi,2,Xang,1500,Mitsubishi
315,Mitsubishi Pajero Sport 2.4D 4x2 AT,888,4/11/2024,2021,46000,Nhap khau,SUV,7,Ha Noi,3,Dau,2400,Mitsubishi
316,Ford Explorer Limited 2.3L EcoBoost,810,4/11/2024,2016,90000,Nhap khau,SUV,7,Ha Noi,8,Xang,2300,Ford
317,Hyundai Grand Starex Van 2.5 AT,510,4/11/2024,2016,110000,Nhap khau,Van,3,Ha Noi,8,Dau,2500,Hyundai
318,Mercedes Benz C class C180,870,4/11/2024,2020,40000,Lap rap,Sedan,5,Ha Noi,4,Xang,1500,Mercedes
319,Mercedes Benz GLC 300 4Matic,1836,4/11/2024,2022,40000,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mercedes
320,Mitsubishi Triton 4x2 AT Mivec,528,4/11/2024,2021,76000,Nhap khau,Ban tai,5,Ha Noi,3,Dau,2400,Mitsubishi
321,Toyota Camry 2.0G,835,4/11/2024,2021,56000,Nhap khau,Sedan,5,Ha Noi,3,Xang,2000,Toyota
322,Mitsubishi Xpander Premium 1.5 AT,620,4/11/2024,2023,18000,Nhap khau,SUV,7,Ha Noi,1,Xang,1500,Mitsubishi
323,Kia Sedona 2.2L DAT,635,4/11/2024,2017,90000,Lap rap,Van,7,Ha Noi,7,Dau,2200,Kia
324,Nissan Almera VL 1.0 CVT Cao cap,420,4/11/2024,2021,47000,Nhap khau,Sedan,5,Ha Noi,3,Xang,1000,Nissan
325,VinFast Lux SA 2.0 Premium 2.0 AT,720,4/11/2024,2019,80000,Lap rap,SUV,7,Ha Noi,5,Xang,2000,VinFast
326,Honda CRV L,930,4/11/2024,2022,30000,Lap rap,SUV,7,Ha Noi,2,Xang,1500,Honda
327,Mercedes Benz E class E300 AMG,1369,4/11/2024,2017,88000,Lap rap,Sedan,5,Ha Noi,7,Xang,2000,Mercedes
328,Mercedes Benz GLE Class GLE 43 AMG 4Matic Coupe,1850,4/11/2024,2016,96000,Nhap khau,Coupe,5,Ha Noi,8,Xang,3000,Mercedes
329,Mercedes Benz GLC 300 4Matic,1240,4/11/2024,2018,45000,Lap rap,SUV,5,Ha Noi,6,Xang,2000,Mercedes
330,Mazda BT50 3.2L 4x4 AT,318,4/11/2024,2015,8,Nhap khau,Ban tai,5,Ha Noi,9,Dau,3200,Mazda
331,Honda CRV L,760,4/11/2024,2018,50630,Nhap khau,SUV,7,Ha Noi,6,Xang,1500,Honda
332,Toyota Fortuner 2.7V 4x2 AT,835,4/11/2024,2020,82000,Nhap khau,SUV,7,Ha Noi,4,Xang,2700,Toyota
333,BMW 5 Series 520i,799,4/11/2024,2016,70000,Nhap khau,Sedan,5,Ha Noi,8,Xang,2000,BMW
334,Mitsubishi Triton 4x2 AT Mivec,525,4/11/2024,2021,56000,Nhap khau,Ban tai,5,Ha Noi,3,Dau,2400,Mitsubishi
335,Kia Sorento GATH,585,4/11/2024,2018,68000,Lap rap,SUV,7,Ha Noi,6,Xang,2400,Kia
336,Mazda 3 1.5 AT,385,4/11/2024,2016,0,Lap rap,Sedan,5,Ha Noi,8,Xang,1500,Mazda
337,Hyundai SantaFe Premium 2.2L HTRAC,870,4/11/2024,2020,0,Lap rap,SUV,7,Ha Noi,4,Dau,2200,Hyundai
338,Toyota Prado VX 2.7L,1980,4/11/2024,2019,75000,Nhap khau,SUV,7,Ha Noi,5,Xang,2700,Toyota
339,Porsche Cayenne 3.0 V6,4150,4/11/2024,2020,29000,Nhap khau,SUV,5,Ha Noi,4,Xang,3000,Porsche
340,Porsche Macan 2.0,2399,4/11/2024,2015,70000,Nhap khau,SUV,5,Ha Noi,9,Xang,2000,Porsche
341,Mercedes Benz E class E300 AMG,1999,4/11/2024,2021,40000,Lap rap,Sedan,5,Ha Noi,3,Xang,2000,Mercedes
342,Hyundai Accent 1.4 AT Dac Biet,485,4/11/2024,2022,27500,Lap rap,Sedan,5,Ha Noi,2,Xang,1400,Hyundai
343,Peugeot 3008 AL,850,4/11/2024,2022,27000,Lap rap,Crossover,5,Ha Noi,2,Xang,1600,Peugeot
344,Toyota Camry 2.5Q,985,4/11/2024,2021,38000,Nhap khau,Sedan,5,Ha Noi,3,Xang,2500,Toyota
345,Honda CRV 2,585,4/11/2024,2016,0,Lap rap,SUV,5,Ha Noi,8,Xang,2400,Honda
346,Mercedes Benz GLC 200 4Matic,1530,4/11/2024,2021,56000,Lap rap,SUV,5,Ha Noi,3,Xang,2000,Mercedes
347,Mitsubishi Outlander 2.0 CVT,740,4/11/2024,2022,0,Lap rap,SUV,7,Ha Noi,2,Xang,2000,Mitsubishi
348,VinFast Lux A 2.0 2.0 AT,580,4/11/2024,2021,0,Lap rap,Sedan,5,Ha Noi,3,Xang,2000,VinFast
349,Kia K3 Luxury 1.6 AT,535,4/11/2024,2022,0,Lap rap,Sedan,5,Ha Noi,2,Xang,1600,Kia
350,Suzuki XL7 1.5 AT,505,4/11/2024,2022,42000,Nhap khau,SUV,7,Ha Noi,2,Xang,1500,Suzuki
351,Hyundai Elantra 2.0 AT,505,4/11/2024,2020,39000,Lap rap,Sedan,5,Ha Noi,4,Xang,2000,Hyundai
352,Mercedes Benz C class C200,840,4/11/2024,2019,48000,Lap rap,Sedan,5,Ha Noi,5,Xang,1500,Mercedes
353,Hyundai SantaFe 2.4L 4WD,625,4/11/2024,2016,87000,Lap rap,SUV,7,Ha Noi,8,Xang,2400,Hyundai
354,Toyota Veloz Cross 1.5 CVT,585,4/11/2024,2023,30000,Lap rap,SUV,7,Ha Noi,1,Xang,1500,Toyota
355,Kia Morning AT,320,4/11/2024,2022,19000,Lap rap,Hatchback,5,Ha Noi,2,Xang,1250,Kia
356,VinFast Lux A 2.0 2.0 AT,499,4/11/2024,2019,62000,Lap rap,Sedan,5,Ha Noi,5,Xang,2000,VinFast
357,Mercedes Benz G class G63 AMG Edition 1,7900,4/11/2024,2019,60000,Nhap khau,SUV,5,Ha Noi,5,Xang,4000,Mercedes
358,Ford Everest Titanium 2.0L 4x2 AT,999,4/11/2024,2022,50000,Nhap khau,SUV,7,Ha Noi,2,Dau,2000,Ford
359,Toyota Camry 2.0G,929,4/11/2024,2022,17000,Nhap khau,Sedan,5,Ha Noi,2,Xang,2000,Toyota
360,Mazda 3 1.5L Luxury,475,4/11/2024,2019,80000,Lap rap,Sedan,5,Ha Noi,5,Xang,1500,Mazda
361,Mercedes Benz S class S450L Luxury,2599,4/11/2024,2019,78000,Lap rap,Sedan,5,Ha Noi,5,Xang,3000,Mercedes
362,Mercedes Benz C class C200,750,4/11/2024,2017,70000,Lap rap,Sedan,5,Ha Noi,7,Xang,2000,Mercedes
363,Mercedes Benz Maybach GLS 600 4Matic,8999,4/11/2024,2021,45000,Nhap khau,SUV,4,Ha Noi,3,Xang,4000,Mercedes
364,Toyota Fortuner 2.7V 4x4 AT,539,4/11/2024,2016,100000,Lap rap,SUV,7,Ha Noi,8,Xang,2700,Toyota
365,Mercedes Benz GLC 300 4Matic,1650,4/11/2024,2020,52000,Lap rap,SUV,5,Ha Noi,4,Xang,2000,Mercedes
366,Toyota Camry 2.5Q,1245,4/11/2024,2022,10000,Nhap khau,Sedan,5,Ha Noi,2,Xang,2500,Toyota
367,VinFast Lux A 2.0 Cao cap,725,4/11/2024,2022,28000,Lap rap,Sedan,5,Ha Noi,2,Xang,2000,VinFast
368,Audi A4 2.0 TFSI,775,4/11/2024,2017,176990,Nhap khau,Sedan,5,Ha Noi,7,Xang,2000,Audi
369,Hyundai Tucson 2.0 AT CRDi Dac biet,898,4/11/2024,2023,10000,Lap rap,Crossover,5,Ha Noi,1,Dau,2000,Hyundai
370,Toyota Vios E CVT,465,4/11/2024,2023,2,Lap rap,Sedan,5,Ha Noi,1,Xang,1500,Toyota
371,VinFast VF8 Plus,1150,4/11/2024,2024,15,Lap rap,SUV,5,Ha Noi,0,Dien,0,VinFast
372,LandRover Range Rover Evoque Dynamic,727,4/11/2024,2014,70000,Nhap khau,SUV,5,Ha Noi,10,Xang,2000,Land Rover
373,Suzuki XL7 1.5 AT,485,4/11/2024,2021,89000,Nhap khau,SUV,7,Ha Noi,3,Xang,1500,Suzuki
374,Mazda 3 1.5 AT,385,4/11/2024,2016,110000,Lap rap,Sedan,5,Ha Noi,8,Xang,1500,Mazda
375,Toyota Veloz Cross Top 1.5 CVT,615,4/11/2024,2022,26000,Nhap khau,SUV,7,Ha Noi,2,Xang,1500,Toyota
376,Honda CRV G,695,4/11/2024,2018,85000,Nhap khau,SUV,7,Ha Noi,6,Xang,1500,Honda
377,Mercedes Benz E class E250,950,4/11/2024,2016,12000,Lap rap,Sedan,5,Ha Noi,8,Xang,2000,Mercedes
378,Mazda 6 Premium 2.0 AT,725,4/11/2024,2022,67000,Lap rap,Sedan,5,Ha Noi,2,Xang,2000,Mazda
379,Mazda CX5 2.5 Signature Premium 2WD,730,4/11/2024,2020,40000,Lap rap,SUV,5,Ha Noi,4,Xang,2500,Mazda
380,Mercedes Benz C class C200 Exclusive,1055,4/11/2024,2020,35000,Lap rap,Sedan,5,Ha Noi,4,Xang,2000,Mercedes
381,Toyota Camry 2.5Q,910,4/11/2024,2020,50000,Nhap khau,Sedan,5,Ha Noi,4,Xang,2500,Toyota
382,Kia Morning Si AT,290,4/11/2024,2018,75466,Lap rap,Hatchback,5,Ha Noi,6,Xang,1250,Kia
383,Hyundai Tucson 2.0 ATH,705,4/11/2024,2020,65000,Lap rap,Crossover,5,Ha Noi,4,Xang,2000,Hyundai
384,Honda CRV L,865,4/11/2024,2020,66000,Nhap khau,SUV,7,Ha Noi,4,Xang,1500,Honda
385,Mercedes Benz GLC 300 4Matic,1819,4/11/2024,2021,47000,Lap rap,SUV,5,Ha Noi,3,Xang,2000,Mercedes
386,VinFast Lux SA 2.0 Premium 2.0 AT,740,4/11/2024,2020,75000,Lap rap,SUV,7,Ha Noi,4,Xang,2000,VinFast
387,VinFast Lux A 2.0 Premium 2.0 AT,580,4/11/2024,2019,60000,Lap rap,Sedan,5,Ha Noi,5,Xang,2000,VinFast
388,Mercedes Benz GLE Class GLE 450 4Matic,2768,4/11/2024,2020,70000,Nhap khau,SUV,7,Ha Noi,4,Xang,3000,Mercedes
389,Mercedes Benz E class E200 Exclusive,1750,4/11/2024,2022,48000,Lap rap,Sedan,5,Ha Noi,2,Xang,2000,Mercedes
390,Ford Ranger XLS 2.2L 4x2 AT,470,4/11/2024,2017,110000,Nhap khau,Ban tai,5,Ha Noi,7,Dau,2200,Ford
391,Mercedes Benz S class S450L,2400,4/11/2024,2019,30000,Lap rap,Sedan,5,Ha Noi,5,Xang,3000,Mercedes
392,Kia Morning GT-Line,378,4/11/2024,2021,30000,Lap rap,Hatchback,5,Ha Noi,3,Xang,1250,Kia
393,Ford Territory Titanium 1.5 AT,840,4/11/2024,2024,20000,Lap rap,SUV,5,Ha Noi,0,Xang,1500,Ford
394,Ford Focus Titanium 1.5L,390,4/11/2024,2016,0,Lap rap,Sedan,5,Ha Noi,8,Xang,1500,Ford
395,MG ZS Luxury 1.5 AT 2WD,490,4/11/2024,2023,30000,Nhap khau,Crossover,5,Ha Noi,1,Xang,1500,MG
396,VinFast Lux A 2.0 2.0 AT,595,4/11/2024,2020,55000,Lap rap,Sedan,5,Ha Noi,4,Xang,2000,VinFast
397,Mazda CX5 2.0 AT,630,4/11/2024,2019,60000,Lap rap,SUV,5,Ha Noi,5,Xang,2000,Mazda
398,Ford Everest Titanium 2.2L 4x2 AT,696,4/11/2024,2016,150000,Nhap khau,SUV,7,Ha Noi,8,Dau,2200,Ford
399,Hyundai SantaFe Cao cap 2.5L HTRAC,1015,4/11/2024,2021,44000,Lap rap,SUV,7,Ha Noi,3,Xang,2500,Hyundai
400,Mazda CX5 Signature Premium 2.5 AT AWD I-Activ,939,4/11/2024,2023,8000,Lap rap,SUV,5,Ha Noi,1,Xang,2500,Mazda
401,LandRover Range Rover Autobiography LWB Black Edition,3990,4/11/2024,2015,80000,Nhap khau,SUV,4,Ha Noi,9,Xang,5000,Land Rover
402,Mercedes Benz GLC 300 4Matic,1130,4/11/2024,2018,90000,Lap rap,SUV,5,Ha Noi,6,Xang,2000,Mercedes
403,Toyota Prado VX 2.7L,2750,4/11/2024,2021,7000,Nhap khau,SUV,7,Ha Noi,3,Xang,2700,Toyota
404,Kia Carnival Signature 2.2D,1299,4/11/2024,2022,45000,Lap rap,Van,7,Ha Noi,2,Dau,2200,Kia
405,Honda City 1.5TOP,448,4/11/2024,2020,68000,Lap rap,Sedan,5,Ha Noi,4,Xang,1500,Honda
406,Lexus RX 350 AWD,1459,4/11/2024,2014,59000,Nhap khau,SUV,5,Ha Noi,10,Xang,3500,Lexus
407,Ford Ranger Wildtrak 2.0L 4x4 AT,615,4/11/2024,2018,90000,Nhap khau,Ban tai,5,Ha Noi,6,Dau,2000,Ford
408,Mazda CX3 Deluxe 1.5 AT,538,4/11/2024,2023,28000,Nhap khau,Crossover,5,Ha Noi,1,Xang,1500,Mazda
409,Kia Sorento Signature 2.2 AT AWD,1015,4/11/2024,2022,38000,Lap rap,SUV,6,Ha Noi,2,Dau,2200,Kia
410,Honda City RS 1.5 AT,550,4/11/2024,2023,25000,Lap rap,Sedan,5,Ha Noi,1,Xang,1500,Honda
411,Kia Seltos Luxury 1.4 AT,669,4/11/2024,2023,7000,Lap rap,Crossover,5,Ha Noi,1,Xang,1400,Kia
412,Nissan Navara EL 2.3 AT 2WD,600,4/11/2024,2023,0,Nhap khau,Ban tai,5,Ha Noi,1,Dau,2300,Nissan
413,Hyundai i10 Grand 1.2 AT,385,4/11/2024,2021,6400,Lap rap,Hatchback,5,Ha Noi,3,Xang,1250,Hyundai
414,Kia Carnival Signature 2.2D,1259,4/11/2024,2022,32000,Lap rap,Van,7,Ha Noi,2,Dau,2200,Kia
415,Mazda 2 1.5 AT,335,4/11/2024,2015,88000,Nhap khau,Sedan,5,Ha Noi,9,Xang,1500,Mazda
416,Ford Everest Titanium 2.0L 4x4 AT,1015,4/11/2024,2021,40000,Nhap khau,SUV,7,Ha Noi,3,Dau,2000,Ford
417,Hyundai SantaFe Cao cap 2.5L HTRAC,1115,4/11/2024,2023,20000,Lap rap,SUV,7,Ha Noi,1,Xang,2500,Hyundai
418,Toyota Vios 1.5G,355,4/11/2024,2014,64800,Lap rap,Sedan,5,Ha Noi,10,Xang,1500,Toyota
419,Mitsubishi Triton 4x2 AT Mivec,520,4/11/2024,2021,75000,Nhap khau,Ban tai,5,Ha Noi,3,Dau,2400,Mitsubishi
420,Mazda 6 2.0 AT,415,4/11/2024,2016,80000,Lap rap,Sedan,5,Ha Noi,8,Xang,2000,Mazda
421,Toyota Camry 2.0G,860,4/11/2024,2021,70000,Nhap khau,Sedan,5,Ha Noi,3,Xang,2000,Toyota
422,Mercedes Benz S class S400L,1350,4/11/2024,2015,65000,Lap rap,Sedan,5,Ha Noi,9,Xang,3000,Mercedes
423,Lexus RX 350 Luxury,4550,4/11/2024,2023,10000,Nhap khau,SUV,5,Ha Noi,1,Xang,2400,Lexus
424,Mercedes Benz GLC 200 4Matic,1539,4/11/2024,2021,41000,Lap rap,SUV,5,Ha Noi,3,Xang,2000,Mercedes
425,MG ZS Luxury 1.5 AT 2WD,440,4/11/2024,2020,10000,Nhap khau,Crossover,5,Ha Noi,4,Xang,1500,MG
426,VinFast VF8 Eco,750,4/11/2024,2022,33000,Lap rap,SUV,5,Ha Noi,2,Dien,0,VinFast
427,Mitsubishi Xpander Premium 1.5 AT,633,4/11/2024,2024,2000,Nhap khau,SUV,7,Ha Noi,0,Xang,1500,Mitsubishi
428,Hyundai SantaFe Premium 2.4L HTRAC,820,4/11/2024,2020,52000,Lap rap,SUV,7,Ha Noi,4,Xang,2400,Hyundai
429,Kia Sedona 2.2 DAT Deluxe,795,4/11/2024,2020,72000,Lap rap,Van,7,Ha Noi,4,Dau,2200,Kia
430,Mercedes Benz GLC 300 4Matic,2589,4/11/2024,2023,30000,Lap rap,SUV,5,Ha Noi,1,Xang,2000,Mercedes
431,Lexus RX 300,2990,4/11/2024,2021,31677,Nhap khau,SUV,5,Ha Noi,3,Xang,2000,Lexus
432,Mercedes Benz GLC 300 4Matic,1979,4/11/2024,2022,47000,Lap rap,SUV,5,Ha Noi,2,Xang,2000,Mercedes
433,Mercedes Benz GLC 200 4Matic,1530,4/11/2024,2021,66000,Lap rap,SUV,5,Ha Noi,3,Xang,2000,Mercedes
434,Toyota Rush 1.5S AT,550,4/11/2024,2021,20000,Nhap khau,SUV,7,Ha Noi,3,Xang,1500,Toyota
435,Mercedes Benz GLC 200 4Matic,1530,4/11/2024,2021,66000,Lap rap,SUV,5,Ha Noi,3,Xang,2000,Mercedes
436,Toyota Rush 1.5S AT,550,4/11/2024,2021,20000,Nhap khau,SUV,7,Ha Noi,3,Xang,1500,Toyota
437,Volvo S90 Inscription LWB B6 AWD,1890,4/11/2024,2022,4000,Nhap khau,Sedan,5,Ha Noi,2,Xang,2000,Volvo
438,VinFast Lux SA 2.0 Premium 2.0 AT,790,4/11/2024,2020,79000,Lap rap,SUV,7,Ha Noi,4,Xang,2000,VinFast
439,Toyota Fortuner 2.8V 4x4 AT,930,4/11/2024,2020,38000,Lap rap,SUV,7,Ha Noi,4,Dau,2800,Toyota
440,Mazda CX5 2.5 AT 2WD,629,4/11/2024,2018,88000,Lap rap,SUV,5,Ha Noi,6,Xang,2500,Mazda
441,Toyota Fortuner Legender 2.4L 4x2 AT,1095,4/11/2024,2022,20000,Lap rap,SUV,7,Ha Noi,2,Dau,2400,Toyota
442,Mercedes Benz GLC 300 4Matic,1079,4/11/2024,2017,48000,Lap rap,SUV,5,Ha Noi,7,Xang,2000,Mercedes
443,LandRover Range Rover Autobiography 5.0,2290,4/11/2024,2014,96000,Nhap khau,SUV,4,Ha Noi,10,Xang,5000,Land Rover
444,Mazda 2 1.5 AT,368,4/11/2024,2017,80000,Lap rap,Sedan,5,Ha Noi,7,Xang,1500,Mazda
445,Mercedes Benz E class E200 Exclusive,1350,4/11/2024,2020,54000,Lap rap,Sedan,5,Ha Noi,4,Xang,2000,Mercedes
446,Mercedes Benz GLC 200 4Matic,1439,4/11/2024,2020,80000,Lap rap,SUV,5,Ha Noi,4,Xang,2000,Mercedes
447,Toyota Vios G 1.5 CVT,475,4/11/2024,2022,39000,Lap rap,Sedan,5,Ha Noi,2,Xang,1500,Toyota
448,Porsche Panamera 4 Executive,5800,4/11/2024,2021,41000,Nhap khau,Sedan,4,Ha Noi,3,Xang,2900,Porsche
449,Lexus LX 600 Vip,9629,4/11/2024,2023,9000,Nhap khau,SUV,4,Ha Noi,1,Xang,3400,Lexus
450,LandRover Range Rover Autobiography LWB 5.0 V8,6900,4/11/2024,2019,30000,Nhap khau,SUV,4,Ha Noi,5,Xang,5000,Land Rover
451,Kia Cerato 2.0 AT Premium,525,4/11/2024,2020,34500,Lap rap,Sedan,5,Ha Noi,4,Xang,2000,Kia
452,Volkswagen Viloran Luxury,2250,4/11/2024,2024,6500,Nhap khau,Van,7,Ha Noi,0,Xang,2000,Volkswagen
453,MG HS Trophy 2.0 AT AWD,555,4/11/2024,2020,36000,Nhap khau,Crossover,5,Ha Noi,4,Xang,2000,MG
454,Mercedes Benz GLC 250 4Matic,835,4/11/2024,2016,79000,Lap rap,SUV,5,Ha Noi,8,Xang,2000,Mercedes
455,Hyundai Elantra Sport 1.6 AT,552,4/11/2024,2020,30120,Lap rap,Sedan,5,Ha Noi,4,Xang,1600,Hyundai
456,Toyota Camry 2.5Q,635,4/11/2024,2016,10,Lap rap,Sedan,5,Ha Noi,8,Xang,2500,Toyota
457,Toyota Camry 2.0E,665,4/11/2024,2018,76000,Lap rap,Sedan,5,Ha Noi,6,Xang,2000,Toyota
458,Mercedes Benz GLC 300 4Matic,1239,4/11/2024,2019,63000,Lap rap,SUV,5,Ha Noi,5,Xang,2000,Mercedes
459,VinFast Lux SA 2.0 2.0 AT,665,4/11/2024,2019,50000,Lap rap,SUV,7,Ha Noi,5,Xang,2000,VinFast
460,Honda City 1.5 AT,335,4/11/2024,2015,80000,Lap rap,Sedan,5,Ha Noi,9,Xang,1500,Honda
461,Toyota Camry 2.0Q,1055,4/11/2024,2022,20000,Nhap khau,Sedan,5,Ha Noi,2,Xang,2000,Toyota
462,MG ZS Luxury 1.5 AT 2WD,430,4/11/2024,2021,45000,Nhap khau,Crossover,5,Ha Noi,3,Xang,1500,MG
463,Hyundai SantaFe Cao cap 2.2L HTRAC,1165,4/11/2024,2022,28000,Lap rap,SUV,7,Ha Noi,2,Dau,2200,Hyundai
464,Kia Morning S AT,285,4/11/2024,2018,50000,Lap rap,Hatchback,5,Ha Noi,6,Xang,1250,Kia
465,Mercedes Benz GLC 200,1359,4/11/2024,2020,49000,Lap rap,SUV,5,Ha Noi,4,Xang,2000,Mercedes
466,Audi A6 2.0 TFSI,625,4/11/2024,2014,68000,Nhap khau,Sedan,5,Ha Noi,10,Xang,2000,Audi
467,Mercedes Benz C class C300 AMG,1090,4/11/2024,2019,70000,Lap rap,Sedan,5,Ha Noi,5,Xang,2000,Mercedes
468,Honda CRV L,905,4/11/2024,2022,52000,Lap rap,SUV,7,Ha Noi,2,Xang,1500,Honda
469,Toyota Fortuner 2.7V 4x2 AT,479,4/11/2024,2015,90000,Lap rap,SUV,7,Ha Noi,9,Xang,2700,Toyota
470,Audi Q7 55 TFSI Quattro,2490,4/11/2024,2020,45000,Nhap khau,SUV,7,Ha Noi,4,Xang,3000,Audi
471,Ford Mustang 2.3 EcoBoost Premium Fastback,2300,4/11/2024,2022,100,Nhap khau,Coupe,4,Ha Noi,2,Xang,2300,Ford
472,Suzuki Swift GLX 1.2 AT,486,4/11/2024,2021,22000,Nhap khau,Hatchback,5,Ha Noi,3,Xang,1200,Suzuki
473,Toyota Fortuner 2.4G 4x2 AT,855,4/11/2024,2019,65000,Lap rap,SUV,7,Ha Noi,5,Dau,2400,Toyota
474,Hyundai Accent 1.4 ATH,415,4/11/2024,2020,42000,Lap rap,Sedan,5,Ha Noi,4,Xang,1400,Hyundai
475,Kia K3 Premium 2.0 AT,570,4/11/2024,2022,28000,Lap rap,Sedan,5,Ha Noi,2,Xang,2000,Kia
476,Hyundai SantaFe 2.4L 4WD,710,4/11/2024,2018,80000,Lap rap,SUV,7,Ha Noi,6,Xang,2400,Hyundai
477,Mini Cooper S 5Dr,910,4/11/2024,2015,0,Nhap khau,Hatchback,5,Ha Noi,9,Xang,2000,Mini
478,Maserati Levante 3.0 V6,3200,4/11/2024,2017,39000,Nhap khau,SUV,5,Ha Noi,7,Xang,3000,Maserati
479,Peugeot 3008 Allure 1.6 AT,765,4/11/2024,2021,41000,Lap rap,Crossover,5,Ha Noi,3,Xang,1600,Peugeot
